NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;NAT_CHANGE;MIG_INT_NET;MIG_EXT_NET;MIG_MOV_NET;POP_CHANGE
AT13;92200;92200;2013;2013;322;-600;957;2.438;3.117
AT13;92200;92200;2014;2014;397;-468;1285;3.328;4.542
AT13;92200;92200;2015;2015;492;-215;1534;5.488;7.299
AT13;92200;92200;2016;2016;506;-736;904;3.230;3.904
AT13;92200;92200;2017;2017;430;-958;817;2.501;2.790
AT13;92200;92200;2018;2018;517;-926;809;3647;4047
AT13;92200;92200;2019;2019;474;-1001;1028;3701;4202
AT13;92200;92200;2020;2020;329;-734;588;3404;3587
AT13;92200;92200;2021;2021;334;-906;695;4898;5021
AT13;92200;92200;2022;2022;334;-406;3441;5472;8841
AT13;92300;92300;2002;2002;-90;-395;331;833;679
AT13;92300;92300;2003;2003;-100;-459;303;821;565
AT13;92300;92300;2004;2004;-148;-631;455;896;572
AT13;92300;92300;2005;2005;-78;-713;518;1608;1335
AT13;92300;92300;2006;2006;-91;-499;145;1622;1177
AT13;92300;92300;2007;2007;-142;-784;273;1580;927
AT13;92300;92300;2008;2008;-39;-763;200;1049;447
AT13;92300;92300;2009;2009;-145;-410;221;951;617
AT13;92300;92300;2010;2010;-22;-497;175;1456;1112
AT13;92300;92300;2011;2011;-27;-462;454;1116;1081
AT13;92300;92300;2012;2012;-76;-700;438;1131;793
AT13;92300;92300;2013;2013;-99;-538;562;893;818
AT13;92300;92300;2014;2014;-74;-733;632;818;643
AT13;92300;92300;2015;2015;-189;-595;790;1602;1608
AT13;92300;92300;2016;2016;-36;-405;668;2424;2651
AT13;92300;92300;2017;2017;-35;-557;477;2920;2805
AT13;92300;92300;2018;2018;-10;-619;193;2890;2454
AT13;92300;92300;2019;2019;110;-409;334;4140;4175
AT13;92300;92300;2020;2020;-85;-887;360;1978;1366
AT13;92300;92300;2021;2021;-19;-678;420;3642;3365
AT13;92300;92300;2022;2022;18;-684;1349;2028;2711
;;;;;;;;;
