NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;NAT_CHANGE;MIG_INT_NET;MIG_EXT_NET;MIG_MOV_NET;POP_CHANGE
AT13;90400;90400;2022;2022;-65;-64;1406;-649;628
AT13;90500;90500;2002;2002;1;313;873;-612;575
AT13;90500;90500;2003;2003;110;216;863;-509;680
AT13;90500;90500;2004;2004;98;226;1014;-606;732
AT13;90500;90500;2005;2005;138;194;820;-611;541
AT13;90500;90500;2006;2006;54;302;318;-958;-284
AT13;90500;90500;2007;2007;122;285;488;-702;193
AT13;90500;90500;2008;2008;107;249;398;-901;-147
AT13;90500;90500;2009;2009;136;429;167;-674;58
AT13;90500;90500;2010;2010;157;409;349;-531;384
AT13;90500;90500;2011;2011;217;333;285;-993;-158
AT13;90500;90500;2012;2012;142;396;803;-862;479
AT13;90500;90500;2013;2013;170;225;861;-738;518
AT13;90500;90500;2014;2014;111;343;1097;-951;600
AT13;90500;90500;2015;2015;230;287;1071;-898;690
AT13;90500;90500;2016;2016;220;341;814;-976;399
AT13;90500;90500;2017;2017;194;307;617;-843;275
AT13;90500;90500;2018;2018;135;-20;377;-705;-213
AT13;90500;90500;2019;2019;112;-31;492;-874;-301
AT13;90500;90500;2020;2020;27;12;580;-1365;-746
AT13;90500;90500;2021;2021;38;137;463;-1279;-641
AT13;90500;90500;2022;2022;25;437;1884;-1050;1296
AT13;90600;90600;2002;2002;-20;285;396;-405;256
AT13;90600;90600;2003;2003;-9;167;128;-227;59
AT13;90600;90600;2004;2004;-2;110;354;-375;87
AT13;90600;90600;2005;2005;-29;211;393;-276;299
AT13;90600;90600;2006;2006;11;269;326;-520;86
AT13;90600;90600;2007;2007;36;283;332;-656;-5
AT13;90600;90600;2008;2008;4;246;213;-719;-256
AT13;90600;90600;2009;2009;-13;315;94;-275;121
AT13;90600;90600;2010;2010;18;335;60;-430;-17
AT13;90600;90600;2011;2011;34;198;182;-335;79
AT13;90600;90600;2012;2012;7;310;591;-187;721
AT13;90600;90600;2013;2013;2;234;562;-303;495
AT13;90600;90600;2014;2014;42;179;443;-288;376
AT13;90600;90600;2015;2015;-17;314;706;-384;619
AT13;90600;90600;2016;2016;85;174;470;-479;250
AT13;90600;90600;2017;2017;-2;132;275;-198;207
AT13;90600;90600;2018;2018;53;13;356;-600;-178
AT13;90600;90600;2019;2019;-16;121;382;-692;-205
AT13;90600;90600;2020;2020;13;154;255;-737;-315
AT13;90600;90600;2021;2021;-25;67;394;-801;-365
AT13;90600;90600;2022;2022;-3;20;1294;-824;487
AT13;90700;90700;2002;2002;29;256;408;-636;57
AT13;90700;90700;2003;2003;10;245;286;-526;15
AT13;90700;90700;2004;2004;60;118;491;-555;114
AT13;90700;90700;2005;2005;28;429;842;-89;1210
AT13;90700;90700;2006;2006;63;242;-61;-729;-485
AT13;90700;90700;2007;2007;66;260;287;-491;122
AT13;90700;90700;2008;2008;50;145;197;-566;-174
AT13;90700;90700;2009;2009;39;298;220;-347;210
AT13;90700;90700;2010;2010;40;274;244;-567;-9
AT13;90700;90700;2011;2011;97;270;209;-544;32
AT13;90700;90700;2012;2012;73;289;358;-505;215
AT13;90700;90700;2013;2013;56;233;421;-219;491
AT13;90700;90700;2014;2014;54;215;482;-263;488
AT13;90700;90700;2015;2015;135;248;699;-360;722
AT13;90700;90700;2016;2016;92;244;463;-624;175
AT13;90700;90700;2017;2017;115;218;376;-452;257
AT13;90700;90700;2018;2018;41;207;188;-604;-168
AT13;90700;90700;2019;2019;101;103;201;-719;-314
AT13;90700;90700;2020;2020;52;64;245;-637;-276
AT13;90700;90700;2021;2021;36;131;240;-770;-363
AT13;90700;90700;2022;2022;29;82;1052;-896;267
AT13;90800;90800;2002;2002;-1;166;883;-131;917
AT13;90800;90800;2003;2003;-8;-186;969;-642;133
AT13;90800;90800;2004;2004;36;-346;1.453;-927;216
AT13;90800;90800;2005;2005;25;-286;1.068;-869;-62
AT13;90800;90800;2006;2006;32;-278;642;-400;-4
AT13;90800;90800;2007;2007;61;-217;754;-454;144
AT13;90800;90800;2008;2008;41;-290;668;-471;-52
AT13;90800;90800;2009;2009;22;-174;643;-701;-210
AT13;90800;90800;2010;2010;21;-251;760;-583;-53
AT13;90800;90800;2011;2011;49;-325;988;-535;177
AT13;90800;90800;2012;2012;37;-334;1168;-502;369
AT13;90800;90800;2013;2013;31;-512;1237;-425;331
AT13;90800;90800;2014;2014;43;-693;1272;-387;235
AT13;90800;90800;2015;2015;58;-524;1536;-550;520
AT13;90800;90800;2016;2016;55;-391;1131;-333;462
AT13;90800;90800;2017;2017;75;-406;703;-233;139
AT13;90800;90800;2018;2018;30;-511;922;-619;-178
AT13;90800;90800;2019;2019;34;-663;853;-671;-447
AT13;90800;90800;2020;2020;36;-382;498;-705;-553
AT13;90800;90800;2021;2021;34;-279;660;-538;-123
AT13;90800;90800;2022;2022;-5;-341;1325;-462;517
AT13;90900;90900;2002;2002;-47;424;607;-983;1
AT13;90900;90900;2003;2003;7;348;519;-330;544
AT13;90900;90900;2004;2004;1;316;838;-603;552
AT13;90900;90900;2005;2005;16;321;391;-985;-257
AT13;90900;90900;2006;2006;25;406;344;-890;-115
AT13;90900;90900;2007;2007;30;453;377;-512;348
AT13;90900;90900;2008;2008;99;324;126;-826;-277
AT13;90900;90900;2009;2009;-20;606;69;-483;172
AT13;90900;90900;2010;2010;2;576;-163;-434;-19
AT13;90900;90900;2011;2011;57;514;39;-503;107
AT13;90900;90900;2012;2012;53;494;556;-564;539
AT13;90900;90900;2013;2013;88;302;557;-407;540
AT13;90900;90900;2014;2014;110;361;928;-1.063;336
AT13;90900;90900;2015;2015;69;-716;4.631;-1.774;2.210
AT13;90900;90900;2016;2016;136;-186;204;-526;-372
AT13;90900;90900;2017;2017;49;181;1.165;-1574;-179
AT13;90900;90900;2018;2018;86;135;650;-1.413;-542
AT13;90900;90900;2019;2019;114;376;697;-1270;-83
AT13;90900;90900;2020;2020;44;392;391;-892;-65
AT13;90900;90900;2021;2021;54;-71;927;-1331;-421
AT13;90900;90900;2022;2022;-24;-839;3617;-1939;815
AT13;91000;91000;2002;2002;-50;-31;2.363;1.214;3.496
AT13;91000;91000;2003;2003;-21;-405;1.880;1261;2.715
AT13;91000;91000;2004;2004;75;-360;2.373;2374;4.462
AT13;91000;91000;2005;2005;72;-470;2.344;1453;3.399
AT13;91000;91000;2006;2006;317;-617;631;1787;2.118
AT13;91000;91000;2007;2007;211;-634;1.373;902;1.852
AT13;91000;91000;2008;2008;111;-496;1.252;1234;2.101
AT13;91000;91000;2009;2009;231;-296;779;795;1.509
AT13;91000;91000;2010;2010;364;-223;958;688;1.787
AT13;91000;91000;2011;2011;358;-158;1.063;564;1.827
AT13;91000;91000;2012;2012;345;10;2.654;1234;4243
AT13;91000;91000;2013;2013;411;-7;2908;514;3.826
AT13;91000;91000;2014;2014;595;-61;2567;72;3173
AT13;91000;91000;2015;2015;480;483;3828;181;4972
AT13;91000;91000;2016;2016;822;489;2600;-619;3.292
AT13;91000;91000;2017;2017;575;518;2099;566;3.758
AT13;91000;91000;2018;2018;790;-762;1564;787;2.379
AT13;91000;91000;2019;2019;773;-402;1746;943;3060
AT13;91000;91000;2020;2020;558;-109;1509;1459;3417
AT13;91000;91000;2021;2021;496;841;1216;-820;1.733
AT13;91000;91000;2022;2022;566;1323;4619;-307;6201
AT13;91100;91100;2002;2002;243;-256;1053;627;1.667
AT13;91100;91100;2003;2003;240;-464;1.050;26;852
AT13;91100;91100;2004;2004;342;-676;873;467;1.006
AT13;91100;91100;2005;2005;287;-791;741;-23;214
AT13;91100;91100;2006;2006;232;-656;236;341;153
AT13;91100;91100;2007;2007;145;-385;665;2.544;2.969
AT13;91100;91100;2008;2008;328;-354;449;1.719;2.142
AT13;91100;91100;2009;2009;284;-362;323;1239;1484
AT13;91100;91100;2010;2010;314;-376;298;682;918
AT13;91100;91100;2011;2011;341;-430;300;571;782
AT13;91100;91100;2012;2012;282;-296;563;513;1.062
AT13;91100;91100;2013;2013;219;-331;978;284;1150
AT13;91100;91100;2014;2014;338;-204;1091;515;1740
AT13;91100;91100;2015;2015;247;-268;1325;810;2114
AT13;91100;91100;2016;2016;361;-495;916;2012;2.794
AT13;91100;91100;2017;2017;449;-564;615;770;1270
AT13;91100;91100;2018;2018;415;-661;504;1356;1614
AT13;91100;91100;2019;2019;432;-886;527;1350;1423
AT13;91100;91100;2020;2020;304;-772;453;605;590
AT13;91100;91100;2021;2021;323;-674;416;984;1.049
AT13;91100;91100;2022;2022;306;-489;2128;1024;2969
AT13;91200;91200;2002;2002;-82;36;903;390;1.247
AT13;91200;91200;2003;2003;-95;-12;1.144;824;1.861
AT13;91200;91200;2004;2004;65;-272;1.219;93;1.105
AT13;91200;91200;2005;2005;51;-253;1.266;-290;774
AT13;91200;91200;2006;2006;126;-4;508;96;726
AT13;91200;91200;2007;2007;78;-34;629;161;834
AT13;91200;91200;2008;2008;144;-233;652;657;1220
AT13;91200;91200;2009;2009;73;-27;635;-193;488
AT13;91200;91200;2010;2010;19;-47;656;-74;554
AT13;91200;91200;2011;2011;62;-113;675;-151;473
AT13;91200;91200;2012;2012;107;386;1017;-401;1109
AT13;91200;91200;2013;2013;54;63;1208;-87;1238
AT13;91200;91200;2014;2014;113;-30;1490;-251;1322
AT13;91200;91200;2015;2015;205;270;1763;-307;1931
AT13;91200;91200;2016;2016;238;411;1357;-249;1757
AT13;91200;91200;2017;2017;158;226;1071;232;1687
AT13;91200;91200;2018;2018;108;-291;447;-207;57
AT13;91200;91200;2019;2019;131;-277;684;-1108;-570
AT13;91200;91200;2020;2020;-66;-247;748;-494;-59
AT13;91200;91200;2021;2021;-13;33;663;233;916
AT13;91200;91200;2022;2022;28;98;2211;45;2382
AT13;91300;91300;2002;2002;-409;-45;204;663;413
AT13;91300;91300;2003;2003;-441;-158;203;429;33
AT13;91300;91300;2004;2004;-436;-111;456;442;351
AT13;91300;91300;2005;2005;-433;-197;300;311;-19
AT13;91300;91300;2006;2006;-353;-91;145;239;-60
AT13;91300;91300;2007;2007;-378;-47;186;65;-174
AT13;91300;91300;2008;2008;-414;-135;124;274;-151
AT13;91300;91300;2009;2009;-334;18;135;199;18
AT13;91300;91300;2010;2010;-331;22;196;64;-49
AT13;91300;91300;2011;2011;-334;-48;90;-45;-337
AT13;91300;91300;2012;2012;-282;-46;208;282;162
AT13;91300;91300;2013;2013;-237;-84;412;340;431
AT13;91300;91300;2014;2014;-201;-54;486;605;836
AT13;91300;91300;2015;2015;-178;-23;1497;329;1625
AT13;91300;91300;2016;2016;-100;-109;361;183;335
AT13;91300;91300;2017;2017;-137;-123;267;79;86
AT13;91300;91300;2018;2018;-232;-235;85;-102;-484
AT13;91300;91300;2019;2019;-95;-176;302;231;262
AT13;91300;91300;2020;2020;-212;-307;204;186;-129
AT13;91300;91300;2021;2021;-253;-255;114;444;50
AT13;91300;91300;2022;2022;-236;-27;1084;783;1604
AT13;91400;91400;2002;2002;-183;-46;848;382;1001
AT13;91400;91400;2003;2003;-259;-255;826;-47;265
AT13;91400;91400;2004;2004;-106;-298;1194;399;1189
AT13;91400;91400;2005;2005;-172;-277;848;563;962
AT13;91400;91400;2006;2006;-140;-343;424;429;370
AT13;91400;91400;2007;2007;-51;-252;496;322;515
AT13;91400;91400;2008;2008;-94;-411;342;415;252
AT13;91400;91400;2009;2009;-98;-185;118;261;96
AT13;91400;91400;2010;2010;-51;-122;348;286;461
AT13;91400;91400;2011;2011;-125;-113;345;289;396
AT13;91400;91400;2012;2012;-45;84;664;569;1272
AT13;91400;91400;2013;2013;42;-203;903;564;1306
AT13;91400;91400;2014;2014;57;-66;938;727;1656
AT13;91400;91400;2015;2015;108;-275;1715;783;2331
AT13;91400;91400;2016;2016;119;-152;723;35;725
AT13;91400;91400;2017;2017;129;-213;649;-158;407
AT13;91400;91400;2018;2018;70;-343;385;138;250
AT13;91400;91400;2019;2019;64;-338;560;385;671
AT13;91400;91400;2020;2020;-31;-375;230;-88;-264
AT13;91400;91400;2021;2021;-82;-402;49;73;-362
AT13;91400;91400;2022;2022;-48;58;2113;1714;3837
AT13;91500;91500;2002;2002;134;338;1693;-1.678;487
AT13;91500;91500;2003;2003;110;194;1606;-1.187;723
AT13;91500;91500;2004;2004;213;12;1819;-1.448;596
AT13;91500;91500;2005;2005;195;135;1398;-1.089;639
AT13;91500;91500;2006;2006;271;94;675;-1077;-37
AT13;91500;91500;2007;2007;180;212;900;-1132;160
AT13;91500;91500;2008;2008;239;227;794;-941;319
AT13;91500;91500;2009;2009;179;394;502;-861;214
AT13;91500;91500;2010;2010;259;303;762;-676;648
AT13;91500;91500;2011;2011;236;404;679;-1162;157
AT13;91500;91500;2012;2012;175;802;1578;-679;1876
AT13;91500;91500;2013;2013;352;324;1524;-977;1223
AT13;91500;91500;2014;2014;316;336;1883;-1068;1467
AT13;91500;91500;2015;2015;377;607;2255;-1237;2002
AT13;91500;91500;2016;2016;386;578;1.367;-1705;626
AT13;91500;91500;2017;2017;285;374;996;-1655;0
AT13;91500;91500;2018;2018;183;-181;574;-1.936;-1.360
AT13;91500;91500;2019;2019;257;6;615;-1695;-817
AT13;91500;91500;2020;2020;68;99;801;-1630;-662
AT13;91500;91500;2021;2021;0;246;543;-1.279;-490
AT13;91500;91500;2022;2022;27;486;1828;-1849;492
AT13;91600;91600;2002;2002;112;197;1453;-508;1254
AT13;91600;91600;2003;2003;74;133;1207;-738;676
AT13;91600;91600;2004;2004;202;0;2396;-499;2099
AT13;91600;91600;2005;2005;260;-82;1699;-133;1744
AT13;91600;91600;2006;2006;200;49;505;-761;-7
AT13;91600;91600;2007;2007;178;-81;1.008;-743;362
AT13;91600;91600;2008;2008;306;102;736;-751;393
AT13;91600;91600;2009;2009;192;206;509;-635;272
AT13;91600;91600;2010;2010;240;364;487;-940;151
AT13;91600;91600;2011;2011;286;231;622;-403;736
AT13;91600;91600;2012;2012;279;500;1435;-340;1874
AT13;91600;91600;2013;2013;292;284;1611;-689;1498
AT13;91600;91600;2014;2014;344;341;1924;-1007;1602
AT13;91600;91600;2015;2015;391;388;2026;-963;1842
AT13;91600;91600;2016;2016;475;622;1256;-643;1710
AT13;91600;91600;2017;2017;442;235;1.005;-1394;288
AT13;91600;91600;2018;2018;404;-378;670;-1491;-795
AT13;91600;91600;2019;2019;305;-150;827;-1675;-693
AT13;91600;91600;2020;2020;121;-2;730;-1472;-623
AT13;91600;91600;2021;2021;47;126;669;-1680;-838
AT13;91600;91600;2022;2022;61;406;1805;-1470;802
AT13;91700;91700;2002;2002;16;282;705;-419;584
AT13;91700;91700;2003;2003;40;81;898;-208;811
AT13;91700;91700;2004;2004;57;9;1031;-115;982
AT13;91700;91700;2005;2005;143;122;844;-13;1096
AT13;91700;91700;2006;2006;89;58;251;-298;100
AT13;91700;91700;2007;2007;111;94;406;-641;-30
AT13;91700;91700;2008;2008;164;-70;334;-594;-166
AT13;91700;91700;2009;2009;161;145;82;-315;73
AT13;91700;91700;2010;2010;104;9;372;-535;-50
AT13;91700;91700;2011;2011;212;30;410;-298;354
AT13;91700;91700;2012;2012;116;435;684;-383;852
AT13;91700;91700;2013;2013;201;14;866;-177;904
AT13;91700;91700;2014;2014;194;229;1010;-241;1192
AT13;91700;91700;2015;2015;205;306;1013;-840;684
AT13;91700;91700;2016;2016;243;180;861;-448;836
AT13;91700;91700;2017;2017;264;-67;448;-291;354
AT13;91700;91700;2018;2018;258;-194;409;-697;-224
AT13;91700;91700;2019;2019;213;-113;520;-879;-259
AT13;91700;91700;2020;2020;152;-108;324;-903;-535
AT13;91700;91700;2021;2021;109;-56;187;-715;-475
AT13;91700;91700;2022;2022;26;68;922;-998;18
AT13;91800;91800;2002;2002;-111;151;509;-211;338
AT13;91800;91800;2003;2003;-104;149;609;-268;386
AT13;91800;91800;2004;2004;28;57;689;-236;538
AT13;91800;91800;2005;2005;-67;143;556;-341;291
AT13;91800;91800;2006;2006;-15;77;438;-480;20
