,DISTRICT_CODE,REF_YEAR,DOG_VALUE
332,20,2015,1985
333,21,2015,7031
334,22,2015,8201
335,23,2015,4134
337,1,2016,4540
338,2,2016,2538
339,3,2016,2081
340,4,2016,6180
341,5,2016,9790
342,6,2016,6580
343,7,2016,6120
344,8,2016,4530
345,9,2016,8500
346,10,2016,534
347,11,2016,3553
348,12,2016,2318
349,13,2016,1986
350,14,2016,2826
351,15,2016,1357
352,16,2016,2105
353,17,2016,1431
354,18,2016,1319
355,19,2016,2718
356,20,2016,1911
357,21,2016,7101
358,22,2016,8475
359,23,2016,4117
361,1,2017,4740
362,2,2017,2507
363,3,2017,2114
364,4,2017,6180
365,5,2017,9690
366,6,2017,6460
367,7,2017,6100
368,8,2017,4590
369,9,2017,8540
370,10,2017,5268
371,11,2017,3545
372,12,2017,2339
373,13,2017,198
374,14,2017,2816
375,15,2017,1326
376,16,2017,204
377,17,2017,1399
378,18,2017,13
379,19,2017,2721
380,20,2017,1931
381,21,2017,7131
382,22,2017,8518
383,23,2017,414
385,1,2018,4630
386,2,2018,2472
387,3,2018,2093
388,4,2018,6440
389,5,2018,9460
390,6,2018,6150
391,7,2018,5770
392,8,2018,4530
393,9,2018,8130
394,10,2018,5166
395,11,2018,3453
396,12,2018,2348
397,13,2018,198
398,14,2018,2796
399,15,2018,13
400,16,2018,1987
401,17,2018,1381
402,18,2018,1278
403,19,2018,2667
404,20,2018,1865
405,21,2018,7147
406,22,2018,8523
407,23,2018,4132
409,1,2019,4740
410,2,2019,249
411,3,2019,2156
412,4,2019,6580
413,5,2019,9520
414,6,2019,6490
415,7,2019,5780
416,8,2019,4840
417,9,2019,8730
418,10,2019,5138
419,11,2019,3489
420,12,2019,2388
421,13,2019,1996
422,14,2019,2822
423,15,2019,1315
424,16,2019,2004
425,17,2019,1393
426,18,2019,1321
427,19,2019,2646
428,20,2019,1878
429,21,2019,7131
430,22,2019,8567
431,23,2019,4202
433,1,2020,4830
434,2,2020,251
435,3,2020,2174
436,4,2020,6540
437,5,2020,9310
438,6,2020,6390
439,7,2020,5800
440,8,2020,4810
441,9,2020,8910
442,10,2020,5118
443,11,2020,3457
444,12,2020,2331
445,13,2020,1999
446,14,2020,2867
447,15,2020,1321
448,16,2020,202
449,17,2020,1372
450,18,2020,1354
451,19,2020,2656
452,20,2020,178
453,21,2020,7106
454,22,2020,8622
455,23,2020,4303
457,1,2021,4880
458,2,2021,2596
459,3,2021,2281
460,4,2021,6900
461,5,2021,9350
462,6,2021,6020
463,7,2021,6100
464,8,2021,4870
465,9,2021,9270
466,10,2021,5128
467,11,2021,3443
468,12,2021,2379
469,13,2021,2009
470,14,2021,2927
471,15,2021,1366
472,16,2021,2027
473,17,2021,1395
474,18,2021,1424
475,19,2021,2712
476,20,2021,181
477,21,2021,7274
478,22,2021,8796
479,23,2021,4395
481,1,2022,4790
482,2,2022,2573
483,3,2022,2335
484,4,2022,6890
485,5,2022,9390
486,6,2022,6010
487,7,2022,6060
488,8,2022,5040
489,9,2022,9450
490,10,2022,5035
491,11,2022,3394
492,12,2022,2333
493,13,2022,2023
494,14,2022,2991
495,15,2022,1372
496,16,2022,1998
497,17,2022,1404
498,18,2022,1461
499,19,2022,2707
500,20,2022,1764
501,21,2022,7271
502,22,2022,8956
503,23,2022,4412
505,1,2023,4970
506,2,2023,2659
507,3,2023,2463
508,4,2023,7110
509,5,2023,9480
510,6,2023,6190
511,7,2023,6410
512,8,2023,5120
513,9,2023,9740
514,10,2023,5162
515,11,2023,3356
516,12,2023,2316
517,13,2023,2075
518,14,2023,3062
519,15,2023,1383
520,16,2023,2024
521,17,2023,1423
522,18,2023,1511
523,19,2023,2763
524,20,2023,1767
525,21,2023,734
526,22,2023,917
527,23,2023,4525
