FID,SHAPE,BEZNR,ZBEZNR,ZGEBNR,BEZ,ZBEZ,ZGEB,FLAECHE,UMFANG,AKT_TIMESTAMP,SE_SDO_ROWID,SE_ANNO_CAD_DATA
ZAEHLGEBIETOGD.1140764,"POLYGON ((16.34637608426172 48.18017105420861, 16.34633642059998 48.18019650857925, 16.34454731219737 48.180320401427835, 16.344140541229727 48.18033958632685, 16.343403880924978 48.18013450042512, 16.343212254392302 48.180088377295014, 16.342432032291388 48.179875643622935, 16.34238025177692 48.17979659606694, 16.343040919823196 48.178954612329065, 16.343134088911086 48.17883364777712, 16.343592129963728 48.17823682832783, 16.34442115580081 48.17852761182657, 16.34459919964165 48.178592529801946, 16.34481376034852 48.17831444317101, 16.344774089932162 48.17829618994283, 16.344898577781443 48.17813834934718, 16.345023334391936 48.177983926016715, 16.34513531867766 48.17784380278387, 16.345213559862387 48.17774828852803, 16.345281470514752 48.17778353653756, 16.345430602373906 48.17784476832898, 16.345574490092698 48.17790393191914, 16.34568260780429 48.177948349442396, 16.346013813775723 48.17805066411443, 16.34631786396856 48.17817726196393, 16.34645086560559 48.17825450180572, 16.346759224463753 48.17839782548989, 16.347125818615517 48.17858646859546, 16.347098930688052 48.178611202547025, 16.347195487094513 48.17865561975227, 16.3474762701831 48.1787333835749, 16.347801831890298 48.1788125810585, 16.348568732629204 48.17896295674068, 16.348703206297376 48.17898929216414, 16.349726965195234 48.17921364578354, 16.349701293558642 48.179257805557064, 16.349560434905435 48.1795005492651, 16.349468494689145 48.17963968517625, 16.34946661285109 48.17964247329466, 16.349404238004695 48.179714696127526, 16.34928365513828 48.179854464734305, 16.349254483935276 48.179888282601105, 16.34922114535414 48.17992686734512, 16.349202997325992 48.17994791356076, 16.349187537875245 48.17996581183879, 16.348759281118053 48.18008555974931, 16.348576165582006 48.18022011843174, 16.348133340705658 48.18016224947757, 16.34815390084362 48.180103521581096, 16.347582125700796 48.18006796719319, 16.34674303358536 48.180073624084585, 16.34664298178058 48.18004422551194, 16.346467361737908 48.18003335975909, 16.34637608426172 48.18017105420861))",12,2,9,12,1202,12029,91508.773,1414.73,2024-03-14,1140764,
ZAEHLGEBIETOGD.1140765,"POLYGON ((16.483777652973643 48.176153304667494, 16.484821263008346 48.17692007054839, 16.48627404555113 48.177951952830355, 16.487184126386193 48.17860079039075, 16.487757319144567 48.17899843530378, 16.488260185067865 48.179347696987236, 16.48491077524142 48.18145838589454, 16.477654818333818 48.186186384078994, 16.46941097195144 48.19158461449428, 16.466611608553244 48.19343386272437, 16.46540978147177 48.1942258136935, 16.465275522089538 48.19432435030557, 16.464506924471866 48.194853562208955, 16.454319958587817 48.201716498116184, 16.449088853084167 48.20524798872008, 16.449000938665275 48.20515841308737, 16.44895645209225 48.20517878137892, 16.448421496608066 48.2047294664451, 16.4483847091452 48.20470225304791, 16.44694888604535 48.203672578366906, 16.44470266172841 48.20204434829376, 16.444734499240774 48.20202282448091, 16.446289129091813 48.20097067002482, 16.44793341383556 48.199853206487084, 16.449261183577484 48.19895501557757, 16.44974968358005 48.198617198812066, 16.44983013720188 48.19856163121124, 16.449863312402748 48.19853866572932, 16.44997623997522 48.19844736289263, 16.45011214890495 48.198346684223225, 16.450141832973483 48.19832668987769, 16.451044566930417 48.19771865989215, 16.455647895373748 48.19461760527119, 16.45643180826474 48.19410048744496, 16.45977585163474 48.1918944118701, 16.47804464080103 48.17983740996673, 16.478699685132998 48.179416795275124, 16.479677667720082 48.178788749736135, 16.480655625909577 48.17816051596878, 16.481632483478805 48.177531915471945, 16.482014203451914 48.1772873552117, 16.482390416844446 48.17704630804193, 16.482611740800227 48.17690447265975, 16.482691597848735 48.176852659752804, 16.483396212026847 48.176395532238416, 16.48358048326963 48.17627595573855, 16.483777652973643 48.176153304667494))",22,26,3,22,2226,22263,1975294.0291,9160.32,2018-03-16,1140765,
ZAEHLGEBIETOGD.1140766,"POLYGON ((16.323583528167152 48.220500889647376, 16.32397141594062 48.2203312301638, 16.32417679798241 48.22024545682971, 16.325274089689177 48.21977126573482, 16.32540921488952 48.219709135592446, 16.326320086581145 48.21930929049629, 16.32656751446234 48.219588278977085, 16.326930883668194 48.2202297903859, 16.327145595867268 48.22063261075893, 16.327241650853328 48.220821924122575, 16.327511396509962 48.22130766487778, 16.32634777465864 48.22162512091221, 16.32617492972565 48.2211627680255, 16.325754217847308 48.221272807355604, 16.325804530029025 48.221372905682195, 16.324825923524592 48.22239200863339, 16.324753368452843 48.222464576286036, 16.324391222704023 48.22241193017599, 16.32418437173621 48.221829872004896, 16.32410044879137 48.22159523187519, 16.32381344532924 48.22080767095334, 16.323583528167152 48.220500889647376))",17,3,6,17,1703,17036,52420.1069,1067.65,2018-03-16,1140766,
ZAEHLGEBIETOGD.1140767,"POLYGON ((16.33109071378631 48.191229734452335, 16.331079674796218 48.19133360547761, 16.331060426433517 48.19148729849048, 16.330204477422377 48.19141090584087, 16.330009858363166 48.191393179165665, 16.329892440302892 48.191391644089656, 16.327524865732983 48.19124877071171, 16.327587837706904 48.19108914599709, 16.32748563070658 48.19101611360956, 16.326954100016366 48.19096948797525, 16.326936481178706 48.19096678861828, 16.326971735618088 48.190877309026106, 16.326986933646747 48.190878929002324, 16.327090543186216 48.19061624562186, 16.327109237768056 48.19061966449546, 16.327257924610382 48.19022865141144, 16.327230756980004 48.19022460238754, 16.32754493479737 48.189450400966884, 16.327560139405502 48.1894097527973, 16.32758315475626 48.1893078614633, 16.32763657959964 48.189120806682695, 16.32770088446398 48.18901711969375, 16.330381042637033 48.18927170098071, 16.330436612421618 48.189054787556124, 16.330592487680974 48.189081235093745, 16.331311075393362 48.18921022956419, 16.331301381817802 48.18931850737415, 16.331227476766163 48.19003966949917, 16.331217783610843 48.1901399433336, 16.33109071378631 48.191229734452335))",15,5,5,15,1505,15055,70792.7379,1110.87,2022-10-18,1140767,
ZAEHLGEBIETOGD.1140768,"POLYGON ((16.3473631747581 48.20436114605299, 16.347327897726757 48.20422805040745, 16.347374571977717 48.20296729131693, 16.347011877156497 48.20295824334908, 16.34697527718193 48.202921464704566, 16.347034649274164 48.20187060524521, 16.348918422503527 48.201829850577674, 16.348945870507407 48.20184774394468, 16.348944427043136 48.20199253441579, 16.34896796907522 48.20199145259088, 16.348964224479467 48.20207967617328, 16.348975447871947 48.20230864143986, 16.34893764565206 48.20230954500178, 16.3489299550708 48.20275659713683, 16.348821047416006 48.20408535230211, 16.34887270846439 48.20408696532551, 16.348859414209702 48.20418526230217, 16.34884895420192 48.2043200712838, 16.348147365522525 48.20433606517325, 16.34767314014771 48.20436048561494, 16.34757600291897 48.20434295868607, 16.3473631747581 48.20436114605299))",7,4,5,7,704,7045,35059.9583,841.47,2021-07-22,1140768,
ZAEHLGEBIETOGD.1140769,"POLYGON ((16.33700394741245 48.20428336795373, 16.337004081920888 48.20428201897516, 16.33700112218339 48.20428192906779, 16.337001929217713 48.204272935877896, 16.337010403175203 48.204184622747555, 16.33702102922029 48.20407454609299, 16.337015782433664 48.20407436627345, 16.337028695028522 48.20393955834159, 16.33702452451607 48.20393937851329, 16.337039051158705 48.20378991167358, 16.337028961238275 48.20378946210059, 16.337043353323374 48.20364152409886, 16.33704590892227 48.20361544384248, 16.33711571605453 48.202899855501336, 16.337131587154616 48.20273716862747, 16.337130645448795 48.2027371686363, 16.337131452441863 48.20272844523863, 16.33714127309607 48.202728894805276, 16.337143156123357 48.20271081848422, 16.337146249625512 48.20267925237299, 16.33715620479775 48.2026796120052, 16.337165216292814 48.20258896060541, 16.337168444993043 48.2025891404378, 16.337177456551153 48.2025030755605, 16.337151492469893 48.20250190669761, 16.33713292747855 48.202501007555114, 16.337150008875522 48.202325190604, 16.337247796802842 48.20171680054368, 16.337259498924414 48.20164431533172, 16.337309404497606 48.20149017156326, 16.337318686089176 48.20146130332908, 16.337358775026914 48.20146804777102, 16.337657827632498 48.201504286528206, 16.338005579206616 48.201541512940544, 16.33870969356948 48.20161614227374, 16.338930049175527 48.201638530004594, 16.338892256798186 48.2018117397305, 16.338808471915872 48.20228559277813, 16.338768940134724 48.20265458414306, 16.33875240064196 48.202799105026195, 16.338619151313296 48.20418918459893, 16.338608395947976 48.20433568379362, 16.33840390494448 48.20433676734145, 16.337636120748535 48.204304494959516, 16.33719659941594 48.204287952719916, 16.33700394741245 48.20428336795373))",7,4,0,7,704,7040,37257.1232,863.54,2019-01-04,1140769,
ZAEHLGEBIETOGD.1140770,"POLYGON ((16.3454736368781 48.21529377907022, 16.345568217535032 48.2152040194836, 16.345477215617343 48.214264061188494, 16.34546413793575 48.21412547754676, 16.345373946705042 48.21318291090743, 16.34537204072938 48.21306069389099, 16.34554696293658 48.21305438435823, 16.345795085218942 48.213055622641214, 16.346084651086546 48.21305784602811, 16.3461577597733 48.21328419769439, 16.34648951776245 48.21365279804041, 16.346750461790304 48.21382598247534, 16.347080572782755 48.214008152866214, 16.347251752344278 48.21410265451138, 16.347892067310067 48.21446015868813, 16.348092720191186 48.214561490841454, 16.34829499009264 48.214669117687414, 16.34849200420737 48.214740592214056, 16.34903029411276 48.21492471275934, 16.349315028005734 48.214932953976444, 16.34945618339432 48.214935006033514, 16.349439411664317 48.215120806803945, 16.349138673846774 48.21515177792249, 16.34894544797018 48.21517185451587, 16.34862802434578 48.21520480466507, 16.34607151053991 48.21536243630428, 16.34578542448931 48.21532954589519, 16.3454736368781 48.21529377907022))",8,1,0,8,801,8010,37677.4808,963.98,2019-01-04,1140770,
ZAEHLGEBIETOGD.1140763,"POLYGON ((16.314158972627972 48.197931377010384, 16.314240155876945 48.19840119684224, 16.314316107482245 48.19883998907713, 16.314332338079367 48.19894934935717, 16.314227951042618 48.1989491497248, 16.313478411097883 48.19894315942043, 16.313275960189518 48.19894114098849, 16.31249951642235 48.198935498696514, 16.312295585287334 48.19893473728172, 16.311264230159114 48.198923367978594, 16.31106420063507 48.19892161596957, 16.31033214858311 48.19891641833922, 16.310119744651658 48.198912053892215, 16.30923151651427 48.19890555487245, 16.30903498477524 48.19890353035294, 16.30816505189664 48.19889639786805, 16.30795318532732 48.19889382818689, 16.307153605857046 48.19888760454124, 16.306921314926 48.19884536784613, 16.30620628855752 48.198711455677554, 16.305929343727428 48.19866111150254, 16.306042409344965 48.19831112601766, 16.30614126982216 48.19832850864315, 16.306201680714988 48.19830721047759, 16.306425233772764 48.19833415795176, 16.306502967562622 48.1983646648812, 16.30701653540079 48.19840310673574, 16.30783820165636 48.19834854277558, 16.307860942631123 48.19833496863317, 16.308065283589233 48.19831973013125, 16.308884793691426 48.19826785612327, 16.309106214472514 48.19825900497284, 16.310000786849752 48.198200215819426, 16.310220058078027 48.198184976869534, 16.311083283874243 48.19812922993026, 16.311283585461172 48.1981183015629, 16.312144791730866 48.198061467034314, 16.312357469523302 48.19804811120669, 16.31311159455337 48.19799880159786, 16.313313375883027 48.19798562169078, 16.31405740997235 48.197937113268395, 16.314158972627972 48.197931377010384))",14,2,0,14,1402,14020,48839.0342,1390.56,2019-01-04,1140763,
ZAEHLGEBIETOGD.1140771,"POLYGON ((16.373603333234406 48.26126289115359, 16.373530802218333 48.261349158586675, 16.37345813627492 48.26143542601658, 16.37308484494625 48.261878816410885, 16.37294610368011 48.262043434607826, 16.372600525237115 48.26245371990891, 16.372527990849825 48.262539986692495, 16.372527452552838 48.26254061637966, 16.37248129563061 48.26259755728307, 16.372380231369636 48.262717826892526, 16.36822279461471 48.261331700840735, 16.368241445201644 48.26121964167281, 16.36826571908696 48.26105461160032, 16.368306383927262 48.26103994145708, 16.368308807755778 48.26103922132961, 16.368311231527656 48.26103841127116, 16.368313520617157 48.26103760125045, 16.368315944332277 48.261036701260984, 16.368318233365027 48.261035801309255, 16.368320522397703 48.261034901357476, 16.36832267669142 48.26103391151252, 16.368324292425804 48.26103319161153, 16.36832456167712 48.261033011674066, 16.36832483092844 48.261032831736614, 16.368326985221987 48.26103184189157, 16.368329139402213 48.26103067218465, 16.368331158956682 48.261029592446455, 16.368333178454463 48.26102842277726, 16.36833519795213 48.261027253108026, 16.368337082710838 48.261025993545665, 16.36833896746944 48.26102473398326, 16.368339909792077 48.261024014271136, 16.3683403136689 48.261023744364905, 16.36834085217133 48.261023384489924, 16.368342602247502 48.26102212496527, 16.368344352210293 48.26102068557876, 16.36834610222964 48.26101933612314, 16.36834771751002 48.26101789677439, 16.36834919810807 48.261016457463455, 16.36835067870605 48.26101501815249, 16.368352159247276 48.26101348891059, 16.368352697636183 48.26101294917371, 16.368353505106196 48.26101195970652, 16.368354850965037 48.26101043050242, 16.368356196823807 48.2610089012983, 16.368357407943616 48.261007282201085, 16.36835848438115 48.26100566314169, 16.368359695500818 48.261004044044434, 16.368360637256025 48.26100242502287, 16.36836157895448 48.26100071607036, 16.368361982547622 48.26099999650944, 16.36836252070957 48.2609990970488, 16.36836332772575 48.26099738813412, 16.368364134741856 48.260995679219434, 16.368364807075746 48.2609939703426, 16.368365479352903 48.260992171534824, 16.368366017004547 48.26099046269582, 16.368366554656163 48.26098875385685, 16.3683669575689 48.26098695512477, 16.36845402158186 48.26065463578249, 16.368592542911536 48.260126701978734, 16.36863397230835 48.260044853076415, 16.36865763400766 48.259978926977304, 16.368694990164794 48.25984581855886, 16.368773997258852 48.25955711771297, 16.368789180658954 48.25950189577851, 16.368811751841974 48.25941618513926, 16.36881658961853 48.25939954653195, 16.36889265583277 48.25935761700079, 16.368895079112665 48.25935617741316, 16.368897502450032 48.259354827756425, 16.368899925729664 48.25935338816871, 16.368902214273675 48.25935185868845, 16.36890463755303 48.25935041910063, 16.368906791418926 48.259348889658746, 16.368907195279576 48.25934861975044, 16.36890907996253 48.25934736017835, 16.368911233770532 48.259345740805436, 16.368913387578388 48.2593441214325, 16.368915541386116 48.25934250205953, 16.368917560515865 48.25934088272496, 16.368919714323322 48.259339263351904, 16.36892038730885 48.259338633642756, 16.368921598717357 48.25933755412484, 16.368923617789076 48.25933584485926, 16.368925502182844 48.25933413563213, 16.368927386518834 48.25933233647403, 16.368929270912346 48.25933062724685, 16.36893102057028 48.259328828127174, 16.36893182806031 48.2593279285866, 16.36893277017042 48.259326939076544, 16.368934385150304 48.25932513999535, 16.36893600013009 48.25932334091412, 16.36893761505208 48.25932145190191, 16.36893922997395 48.25931956288971, 16.368940710217927 48.25931767391597, 16.368942190461805 48.259315784942245, 16.368943670647884 48.25931380603754, 16.368945016156086 48.25931182717133, 16.36894622704414 48.25930993827458, 16.36894757255216 48.25930795940834, 16.368948783382333 48.259305980580635, 16.3689499941547 48.25930391182193, 16.368951070306956 48.25930193303271, 16.36895214640143 48.25929986431256, 16.368953222553518 48.259297885523296, 16.368954163970102 48.25929581684164, 16.368955105386622 48.25929374815998, 16.36895591212537 48.25929167951685, 16.36899500452352 48.25913788636471, 16.3690722614619 48.258854491707076, 16.36907414693356 48.25885449116559, 16.369099003723143 48.25876392353105, 16.369099540979217 48.25876167510221, 16.36910007823524 48.258759426673365, 16.36910048081493 48.258757178283226, 16.369100883394562 48.25875492989308, 16.369101285974185 48.25875268150294, 16.369101553819522 48.25875034322053, 16.369101553645613 48.25875007342766, 16.36910168704653 48.258748094907794, 16.36910195494979 48.25874584655637, 16.36910208817679 48.25874359824363, 16.369102086669535 48.258741260038654, 16.3691022198965 48.258739011725915, 16.369102083770983 48.258736763490624, 16.369102082263733 48.25873442528565, 16.36910194613822 48.25873217705031, 16.369101675336516 48.258729928853725, 16.369101539211048 48.25872768061842, 16.369101133675198 48.25872534252957, 16.369100862873555 48.25872309433294, 16.369100727849535 48.25872255478589, 16.369100592767563 48.258721925307874, 16.369100457395746 48.25872084617505, 16.36910005191796 48.25871859801713, 16.369099511764038 48.25871634989794, 16.369098971610168 48.25871410177874, 16.369098296780162 48.25871185369824, 16.369097621950225 48.25870960561773, 16.369097486926268 48.25870906607069, 16.369097216936357 48.258708076907524, 16.369096947120347 48.25870735753723, 16.369096137672322 48.25870519942638, 16.369095328166413 48.25870295138458, 16.369094518718523 48.25870079327371, 16.36909357453662 48.25869854527057, 16.369092630412748 48.258696387198405, 16.369091551612833 48.25869422916493, 16.369090607489117 48.25869207109274, 16.369089394013272 48.25868991309792, 16.369088315213624 48.25868775506441, 16.369087101795913 48.25868568700053, 16.369085753644264 48.25868352904437, 16.369084809926584 48.25868200048885, 16.36908440555065 48.258681461019165, 16.369083057399227 48.25867930306296, 16.369081709305842 48.2586772350377, 16.36908022659443 48.258675256982094, 16.36907874382519 48.2586731889955, 16.369077126380017 48.25867112104756, 16.36907577851879 48.25866941274608, 16.36907550899289 48.25866914303056, 16.36907389160589 48.25866716501355, 16.369072274219025 48.2586651869965, 16.36907052215622 48.25866320901813, 16.36906863541753 48.25866123107837, 16.36906688341293 48.25865934303086, 16.369064996732423 48.25865745502201, 16.368984678061214 48.2585768998969, 16.369012413676867 48.25835557180359, 16.369064667937216 48.25793764751719, 16.369070965363203 48.25788755414725, 16.369032971269124 48.25786265416704, 16.369025022152147 48.257857440449335, 16.368904034026443 48.25777797608399, 16.3689200075073 48.25769577459125, 16.36899611585532 48.257304283180694, 16.369039235038137 48.257132232812744, 16.369168093314844 48.25688830288795, 16.369206158680203 48.25681616725074, 16.369414911489365 48.25642130973182, 16.369467777960228 48.2563309137104, 16.36950503934209 48.25626624247523, 16.369781201445225 48.25578745897668, 16.369882894588972 48.25561125422228, 16.370164968037876 48.255122036007656, 16.37026665854454 48.25494583089407, 16.370485505680424 48.25456616664418, 16.37052061239473 48.25450527280896, 16.370587193984402 48.254389961230586, 16.37094283443205 48.253782369615614, 16.37099246842059 48.25369907838569, 16.37099717623281 48.253691163021976, 16.371048957713832 48.25359770890407, 16.371094552213286 48.25351549802953, 16.371099145735823 48.25353743980799, 16.37110202159443 48.25360758515721, 16.371122958656283 48.25370164665916, 16.371169355403456 48.253807751144144, 16.371226375219802 48.253891189733736, 16.37129847496322 48.25397084656803, 16.371379857943975 48.25403773029486, 16.371462581381344 48.2540953506523, 16.371580320063348 48.254156377515514, 16.37168615912167 48.25395247107046, 16.37213681520307 48.253862489401826, 16.37225045095299 48.25383385560807, 16.372336891847176 48.253815482427235, 16.37238846164958 48.253806652898426, 16.372445553202404 48.253798630978345, 16.372619390522757 48.253780409751684, 16.373230859738218 48.25372994220222, 16.373363236885723 48.253734485806554, 16.3733271012197 48.25385653396893, 16.373235902651373 48.25399892435504, 16.37316997057687 48.25407241932694, 16.372989079026745 48.25420692449875, 16.373117652395788 48.2541638960823, 16.373307070793793 48.254089282024914, 16.373664869187685 48.253900220398336, 16.373880356501306 48.253752392983245, 16.374018976773964 48.25364056299078, 16.374253795018234 48.25341439853044, 16.37426765611582 48.25340216330002, 16.3746674120478 48.25296973111197, 16.374807267511972 48.25271553885294, 16.375236428313844 48.25253661042666, 16.375298054324535 48.25247354772464, 16.37525441561859 48.252461871571306, 16.37528018891066 48.252355474316666, 16.37533846885187 48.25196785145851, 16.375427899836595 48.25164020191798, 16.37550686400199 48.2515363943712, 16.375578732073908 48.25166056452344, 16.375605214376474 48.251776476589455, 16.37557894590526 48.25193800185319, 16.375591645871978 48.252167231817204, 16.375771187798872 48.25222076886103, 16.377232198666988 48.25066049001922, 16.376947979698407 48.250539094535384, 16.376630275976133 48.250812237929004, 16.37642795033322 48.25071932039295, 16.376421084777718 48.25055061205, 16.37658844774144 48.25053427563826, 16.376764829332565 48.250344368750405, 16.377088671117196 48.25000575292049, 16.377284010864425 48.24978571152616, 16.37748739084153 48.249686264527945, 16.37749493355926 48.249688959743175, 16.377509342826997 48.24969075317113, 16.377523614243668 48.249688589677696, 16.377538016456224 48.24968165978595, 16.378479250225805 48.24888335744394, 16.37860425094265 48.24877548382227, 16.378786577623526 48.24862640031024, 16.378855476153706 48.24857592331432, 16.37940510153171 48.24808118604621, 16.379498088163686 48.248015860936356, 16.380077130632266 48.24745312133457, 16.381105843775515 48.24639468270444, 16.3812335062902 48.24626468206512, 16.381243104910858 48.24615604143323, 16.381335744895484 48.24600968696008, 16.381458322811294 48.2459173692292, 16.381694948777245 48.24568093639571, 16.381944301424163 48.24582661558884, 16.38212385152303 48.24590658253577, 16.382660654411758 48.246184163599565, 16.382742146652227 48.246220462732, 16.38594589127496 48.24764533550067, 16.385941990183298 48.24764911430183, 16.385872446379338 48.24771992027254, 16.385739814836214 48.247854874390335, 16.385710087049887 48.247885194030346, 16.38570484083826 48.24789041230262, 16.3849453369336 48.24864310171717, 16.384771936705935 48.24881503372161, 16.383996682735486 48.24960153752146, 16.383241606199874 48.25039135515684, 16.382980761092906 48.2506642229629, 16.382618479140568 48.25104324998773, 16.382604353646624 48.25105800440778, 16.382261846618945 48.25142137426455, 16.381384302345985 48.252353229777306, 16.38129080152711 48.2524524605812, 16.381284068303422 48.25245219343687, 16.37965549638278 48.25419811469825, 16.379592396246267 48.25426576675839, 16.379334881312907 48.254541772432546, 16.37930514647261 48.25457280983188, 16.37925509508264 48.254625168515894, 16.379155125376787 48.25472835693958, 16.37911583705492 48.254768930560076, 16.37873696415617 48.25518473308643, 16.37732955491031 48.25685130903265, 16.373603333234406 48.26126289115359))",20,1,0,20,2001,20010,850575.9112,5341.75,2022-12-19,1140771,
ZAEHLGEBIETOGD.1140772,"POLYGON ((16.339252491061288 48.212141925157624, 16.33924212878594 48.212115935181814, 16.339237554001308 48.21211674469408, 16.33923513160618 48.21210990995129, 16.339231767790835 48.21211044963466, 16.339226250100356 48.21209462180633, 16.339229479360803 48.212094082126846, 16.339227056967825 48.212087247383884, 16.339231631761134 48.212086617735444, 16.33919058519509 48.21196179364945, 16.339183992130877 48.21196278307811, 16.339182780907528 48.211958826115804, 16.339178744333754 48.21195936581595, 16.339177802272726 48.21195630816337, 16.339142280449998 48.211961525163126, 16.339138915924334 48.21195010392618, 16.339137839269092 48.211946326823195, 16.33913568595367 48.211938682685506, 16.339132455984434 48.211927261444686, 16.33912922601664 48.21191584020377, 16.33912613060371 48.21190441895913, 16.339123035192134 48.211892997714415, 16.339119939771216 48.211881396606145, 16.33911697889963 48.21186970556245, 16.339114018034742 48.2118581044504, 16.339111191724474 48.21184650333465, 16.339108365410123 48.21183481228711, 16.339105539102416 48.211823211171186, 16.339102847343796 48.21181152011989, 16.339100155586415 48.21179982906849, 16.339097463835586 48.211788227948716, 16.339094906633722 48.21177653689359, 16.33909248398607 48.211764845834814, 16.339089926786503 48.21175315477955, 16.33908763869407 48.211741463717054, 16.339085216049728 48.21172977265805, 16.339082927959424 48.21171808159546, 16.33908077442304 48.2117063905292, 16.339078486329477 48.21169460953474, 16.339076467347923 48.21168291846484, 16.339074313814496 48.21167122739841, 16.339072294829514 48.21165944639667, 16.339070410403497 48.21164775532307, 16.33901147651606 48.21165144405594, 16.33901066886793 48.21164568844684, 16.339008650582095 48.21164577843052, 16.339001247149657 48.21159298870293, 16.33900326542827 48.2115928087877, 16.339002592381064 48.21158786256053, 16.3390099927472 48.21158741271171, 16.33899895441873 48.21149999936538, 16.338991957717003 48.211500359271405, 16.33898576549815 48.21145116677927, 16.338992762188067 48.211450716941876, 16.33898158928423 48.211361864687646, 16.338971901571593 48.21136240452449, 16.338971093917095 48.21135637911971, 16.338969075642574 48.21135646910266, 16.338961941386014 48.2113034994996, 16.338963959658486 48.21130340951679, 16.338963152010948 48.21129747404359, 16.339022085500883 48.21129387526701, 16.33900889382516 48.21119665941488, 16.33903795686752 48.21119503989255, 16.33903741845216 48.21119144263759, 16.339039436714852 48.21119126272171, 16.339038898273273 48.21118721580814, 16.339043473014932 48.211187035825716, 16.33902731957749 48.21106185128435, 16.339177343376996 48.21104880720288, 16.339645174222248 48.21099771231032, 16.340324516441864 48.2109260134812, 16.34051288597365 48.2109069407993, 16.342117250988146 48.21074849757064, 16.34227009714175 48.210723038724964, 16.342276843537242 48.21087880011556, 16.342378788930084 48.21161335686053, 16.342481690630148 48.21243982356946, 16.342566675526662 48.21307680500785, 16.342383812512608 48.21307069987014, 16.34124815654112 48.213076782236385, 16.341044437903406 48.213075532220664, 16.340324022682154 48.21307762968023, 16.33986653195426 48.21309545224756, 16.339740318469655 48.21310301062893, 16.339536305282675 48.212727911888145, 16.3395344215352 48.21272836160375, 16.339525943481654 48.21271280367626, 16.339527827228626 48.21271235396081, 16.33936687948878 48.21241297607905, 16.339363650221326 48.21241369562578, 16.339355979599695 48.21239813766164, 16.33935920887208 48.21239750804683, 16.339356248286634 48.212391572639454, 16.339360419424036 48.21239067320245, 16.339303898755688 48.21226908714932, 16.339299323969765 48.2122700765274, 16.33929636334177 48.212263241801324, 16.339293134077057 48.21226387141436, 16.339286539916674 48.2122480436197, 16.33928976918048 48.21224741400683, 16.339286943115027 48.212240669208384, 16.339291383355633 48.21223985969798, 16.339252491061288 48.212141925157624))",8,3,2,8,803,8032,57421.3275,973.04,2018-03-16,1140772,
