FID,OBJECTID,SHAPE,SE_ANNO_CAD_DATA
SILVESPFADLINOGD.4801,4801,"LINESTRING (16.36421286784622 48.21201295354098, 16.364439389304085 48.21190396714701, 16.36454271605514 48.21185877518324, 16.364681823406237 48.2118215448694, 16.36533365578428 48.211677910835135, 16.365699288415513 48.211547631975, 16.36653784021722 48.21123124871735, 16.3672412436979 48.210936150533875, 16.367618710061336 48.21067567716733, 16.36786432145575 48.21042277449048, 16.368569207079965 48.21002451062628, 16.368851807809797 48.20971130779767, 16.368701735755177 48.2095965742217, 16.368532808455207 48.20942149167841, 16.369152032327236 48.20908114011045, 16.36997838922793 48.20851813863546, 16.37045127920856 48.20827839200549, 16.371286346802183 48.20809882415293, 16.371802584745307 48.20808934335229, 16.37211213448446 48.20840026041726)",
SILVESPFADLINOGD.4802,4802,"LINESTRING (16.371802584745307 48.20808934335229, 16.371657083107127 48.207354195314544, 16.371531004105883 48.206738407478014, 16.371373545248673 48.20597516340491)",
SILVESPFADLINOGD.4803,4803,"LINESTRING (16.37079225371011 48.20611576274632, 16.37050488871358 48.20543868428201)",
SILVESPFADLINOGD.4804,4804,"LINESTRING (16.37211213448446 48.20840026041726, 16.37239925008941 48.20869053809187)",
SILVESPFADLINOGD.4805,4805,"LINESTRING (16.37211213448446 48.20840026041726, 16.37262396810895 48.208244048232416)",
SILVESPFADLINOGD.4806,4806,"LINESTRING (16.371531004105883 48.206738407478014, 16.37096632461617 48.206792641951516, 16.37079225371011 48.20611576274632)",
SILVESPFADLINOGD.4807,4807,"LINESTRING (16.37079225371011 48.20611576274632, 16.371373545248673 48.20597516340491)",
SILVESPFADLINOGD.4808,4808,"LINESTRING (16.36421286784622 48.21201295354098, 16.36169592446727 48.21105478045595, 16.361392133386374 48.2110737361769, 16.361102427936743 48.21099824442602, 16.360961066942224 48.21087549854726, 16.36078421214977 48.210403316893384, 16.3599081936753 48.210497946519034)",
